latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.342325,47.62484,333.93,0.44,0.38,2017-01-01,1036,N,VIIRS,n,1,301.05,21.93,D,0
-21.343044,47.620628,338.38,0.44,0.38,2017-01-01,1036,N,VIIRS,n,1,305.91,21.93,D,0
-21.200449,47.712017,338.06,0.44,0.38,2017-01-01,1036,N,VIIRS,n,1,301.1,1.92,D,0
-21.198164,47.712067,336.23,0.44,0.38,2017-01-01,1036,N,VIIRS,n,1,300.53,2.78,D,0
-21.354984,47.66655,337.36,0.38,0.36,2017-01-07,1024,N,VIIRS,n,1,297.17,6.76,D,0
-21.254095,47.650997,339.79,0.57,0.43,2017-01-08,1006,N,VIIRS,n,1,302.5,5.9,D,0
-21.253395,47.64954,334.64,0.57,0.43,2017-01-08,1006,N,VIIRS,n,1,302.14,4.07,D,0
-21.354847,47.315758,345.25,0.63,0.72,2017-01-15,0936,N,VIIRS,n,1,279.71,14.63,D,0
-20.993006,47.310829,341.46,0.62,0.72,2017-01-15,0936,N,VIIRS,n,1,293.42,9.09,D,0
-21.107319,47.26844,331.91,0.5,0.49,2017-01-16,1054,N,VIIRS,n,1,295.94,4.85,D,0
-21.058146,47.227566,331.74,0.5,0.49,2017-01-16,1054,N,VIIRS,n,1,300.56,3.35,D,0
-21.438145,47.639351,334.38,0.44,0.38,2017-01-17,1036,N,VIIRS,n,1,300.75,1.91,D,0
-21.443373,47.308159,335.4,0.42,0.38,2017-01-17,1036,N,VIIRS,l,1,310.24,4.81,D,0
-21.401237,47.3181,333.36,0.42,0.38,2017-01-17,1036,N,VIIRS,l,1,303.51,5.9,D,0
-21.349092,47.308266,367,0.42,0.38,2017-01-17,1036,N,VIIRS,h,1,312.76,11.95,D,0
-21.348402,47.312374,332.48,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,303.88,3.75,D,0
-21.344254,47.315716,338.08,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,305.39,4.26,D,0
-21.344938,47.311642,343.74,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,313.49,4.26,D,0
-21.340794,47.314972,333.04,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,301.47,4.26,D,0
-21.332443,47.300652,335.93,0.42,0.38,2017-01-17,1036,N,VIIRS,l,1,306.3,2.53,D,0
-21.328949,47.300091,337.28,0.42,0.38,2017-01-17,1036,N,VIIRS,l,1,308.09,2.53,D,0
-21.284508,47.304703,337.3,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,306.94,5.19,D,0
-21.255281,47.286377,340.75,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,310.21,3.71,D,0
-21.166628,47.274559,339.09,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,307.89,4.14,D,0
-21.106844,47.2673,336.8,0.43,0.38,2017-01-17,1036,N,VIIRS,l,1,307.27,3.69,D,0
-21.107531,47.263237,341.35,0.42,0.38,2017-01-17,1036,N,VIIRS,n,1,309.08,3.61,D,0
-21.103374,47.266598,340.24,0.43,0.38,2017-01-17,1036,N,VIIRS,n,1,309.16,3.69,D,0
-21.106314,47.267384,337.67,0.43,0.38,2017-01-17,1036,N,VIIRS,n,1,307.27,3.44,D,0
-21.106983,47.263325,347.74,0.43,0.38,2017-01-17,1036,N,VIIRS,n,1,308.37,4.6,D,0
-21.10284,47.266689,336.14,0.43,0.38,2017-01-17,1036,N,VIIRS,l,1,308.44,3.44,D,0
-21.063192,47.246197,331.16,0.42,0.38,2017-01-17,1036,N,VIIRS,l,1,304.9,3.79,D,0
-21.006168,47.37178,330.57,0.43,0.38,2017-01-17,1036,N,VIIRS,l,1,303.07,3.17,D,0
-21.359623,47.652508,330.74,0.47,0.48,2017-01-19,1000,N,VIIRS,n,1,298.66,3.66,D,0
-21.040039,47.227413,332.98,0.5,0.49,2017-01-19,1000,N,VIIRS,n,1,300.29,4.64,D,0
-21.458162,47.314529,354.6,0.5,0.66,2017-01-20,0942,N,VIIRS,n,1,295.06,8.83,D,0
-21.458761,47.311588,341.61,0.5,0.66,2017-01-20,0942,N,VIIRS,n,1,293.71,5.74,D,0
-21.00396,47.366581,367,0.49,0.65,2017-01-20,0942,N,VIIRS,h,1,298.42,23.75,D,0
-21.004366,47.361935,343.48,0.49,0.65,2017-01-20,0942,N,VIIRS,n,1,295.79,14.07,D,0
-21.48863,47.379826,339.52,0.61,0.71,2017-01-20,1118,N,VIIRS,n,1,293.06,7.48,D,0
-21.295755,47.319427,304.62,0.6,0.53,2017-01-20,2230,N,VIIRS,n,1,284.62,1.87,N,0
-21.477608,47.394005,330.9,0.63,0.54,2017-01-21,1100,N,VIIRS,n,1,300.11,5.26,D,0
-21.097239,47.667671,340.85,0.33,0.55,2017-01-21,1100,N,VIIRS,n,1,298.71,2.21,D,0
-21.092178,47.666336,331.83,0.33,0.55,2017-01-21,1100,N,VIIRS,n,1,297.26,2.21,D,0
-21.09565,47.668175,345.05,0.33,0.55,2017-01-21,1100,N,VIIRS,n,1,298.36,3.87,D,0
-21.318741,47.300034,298.38,0.47,0.4,2017-01-21,2212,N,VIIRS,n,1,286.97,0.5,N,0
-21.422245,47.299297,338.15,0.49,0.4,2017-01-22,1042,N,VIIRS,n,1,305.7,3.64,D,0
-21.242014,47.333988,335.58,0.5,0.41,2017-01-22,1042,N,VIIRS,l,1,307.49,8.58,D,0
-21.242069,47.331707,334.06,0.5,0.41,2017-01-22,1042,N,VIIRS,l,1,307.9,7.76,D,0
-21.420673,47.297398,338.51,0.39,0.36,2017-01-23,1024,N,VIIRS,l,1,308.95,5.24,D,0
-21.406469,47.312927,296.47,0.42,0.45,2017-01-23,2136,N,VIIRS,n,1,286.14,0.67,N,0
-21.473625,47.392769,301.14,0.41,0.45,2017-01-23,2136,N,VIIRS,n,1,287.42,1.01,N,0
-21.40605,47.31572,334.35,0.4,0.44,2017-01-24,1006,N,VIIRS,n,1,296.83,3.32,D,0
-21.407158,47.316093,334.61,0.4,0.44,2017-01-24,1006,N,VIIRS,n,1,297.54,3.1,D,0
-21.135187,47.280228,332,0.4,0.44,2017-01-24,1006,N,VIIRS,n,1,295.69,1.93,D,0
-21.407881,47.315639,330.47,0.4,0.6,2017-01-25,0948,N,VIIRS,n,1,295.79,3.93,D,0
-21.385956,47.263706,331.76,0.4,0.6,2017-01-25,0948,N,VIIRS,n,1,294.98,3.5,D,0
-21.38032,47.263584,367,0.4,0.6,2017-01-25,0948,N,VIIRS,l,1,286.5,4.23,D,0
-21.271458,47.24501,354.27,0.4,0.6,2017-01-25,0948,N,VIIRS,n,1,295.14,5.92,D,0
-21.475414,47.386379,299.18,0.78,0.78,2017-01-25,2100,N,VIIRS,n,1,286.95,1.25,N,0
-21.474804,47.387505,306.84,0.38,0.59,2017-01-25,2236,N,VIIRS,n,1,286.99,1.19,N,0
-21.475168,47.391228,302.22,0.38,0.59,2017-01-25,2236,N,VIIRS,n,1,286.98,1,N,0
-21.474258,47.387161,333.16,0.78,0.78,2017-01-26,0924,N,VIIRS,n,1,292.63,7.04,D,0
-21.473774,47.38718,334.55,0.78,0.78,2017-01-26,0924,N,VIIRS,n,1,292.44,8.74,D,0
-20.93808,47.363697,336.4,0.62,0.71,2017-01-31,0936,N,VIIRS,n,1,291.83,6.54,D,0
-21.120312,47.623417,343.32,0.39,0.36,2017-02-08,1024,N,VIIRS,n,1,299.82,5.05,D,0
-21.344433,47.316456,330.6,0.4,0.44,2017-02-09,1006,N,VIIRS,n,1,298.3,3.49,D,0
-21.34215,47.316326,330.04,0.4,0.44,2017-02-09,1006,N,VIIRS,n,1,297.39,4.03,D,0
-21.233814,47.685329,337.2,0.57,0.43,2017-02-25,1006,N,VIIRS,n,1,304.11,29.83,D,0
-21.069828,47.274391,331.12,0.42,0.38,2017-04-23,1036,N,VIIRS,n,1,296.61,2.84,D,0
-21.416834,47.309654,333.63,0.43,0.38,2017-04-24,1018,N,VIIRS,n,1,302.37,2.26,D,0
-20.931219,47.604336,338.75,0.52,0.5,2017-05-24,1054,N,VIIRS,n,1,293.52,4.67,D,0
-21.095335,47.243477,332.95,0.43,0.38,2017-05-26,1018,N,VIIRS,n,1,298.39,5.29,D,0
-21.471384,47.293224,330.7,0.39,0.36,2017-06-05,1030,N,VIIRS,n,1,297.23,5.15,D,0
-21.471968,47.289478,328.01,0.39,0.36,2017-06-05,1030,N,VIIRS,n,1,298.32,4.88,D,0
-20.929895,47.202606,326.28,0.48,0.65,2017-07-10,1112,N,VIIRS,n,1,293.37,2.5,D,0
-21.166718,47.402267,330.51,0.42,0.38,2017-07-12,1036,N,VIIRS,n,1,295.03,3.96,D,0
-20.980373,47.334736,341.23,0.5,0.49,2017-07-14,1000,N,VIIRS,n,1,295.63,6.67,D,0
-21.014841,47.324791,327.36,0.62,0.54,2017-07-16,1100,N,VIIRS,n,1,296.05,3.24,D,0
-21.077599,47.35532,327.25,0.39,0.36,2017-07-18,1024,N,VIIRS,n,1,290.97,2.12,D,0
-20.937281,47.395351,353.28,0.4,0.44,2017-07-19,1006,N,VIIRS,n,1,294.12,6.4,D,0
-21.409302,47.316128,333.95,0.39,0.44,2017-07-22,1048,N,VIIRS,n,1,297.52,1.66,D,0
-21.253098,47.279091,339.36,0.39,0.44,2017-07-22,1048,N,VIIRS,n,1,295.84,5.04,D,0
-21.237726,47.338955,334.81,0.39,0.44,2017-07-22,1048,N,VIIRS,n,1,295.68,3.51,D,0
-21.059677,47.24091,335.53,0.39,0.44,2017-07-22,1048,N,VIIRS,n,1,298.13,2.24,D,0
-21.193371,47.401501,340.64,0.39,0.36,2017-07-23,1030,N,VIIRS,n,1,294.73,4.3,D,0
-21.055336,47.265129,328.9,0.39,0.36,2017-07-23,1030,N,VIIRS,n,1,291.08,1.6,D,0
-21.045122,47.20504,336.42,0.39,0.36,2017-08-03,1024,N,VIIRS,n,1,301.64,3.23,D,0
-21.425486,47.587257,333.11,0.39,0.44,2017-08-20,1006,N,VIIRS,n,1,295.54,2.48,D,0
-21.250223,47.575352,329.31,0.39,0.44,2017-08-20,1006,N,VIIRS,n,1,296.24,2.38,D,0
-20.963938,47.293327,337.73,0.4,0.44,2017-08-20,1006,N,VIIRS,n,1,297.55,5.05,D,0
-20.9445,47.342926,367,0.4,0.6,2017-08-21,0948,N,VIIRS,h,1,291.18,7.75,D,0
-21.411522,47.305222,334.99,0.39,0.36,2017-08-24,1030,N,VIIRS,n,1,301.49,8.12,D,0
-21.008389,47.224545,296.54,0.53,0.42,2017-08-24,2142,N,VIIRS,n,1,284.11,0.43,N,0
-21.422211,47.29604,345.81,0.5,0.41,2017-08-25,1012,N,VIIRS,n,1,303.25,18.66,D,0
-21.188114,47.624371,329.32,0.48,0.4,2017-08-25,1012,N,VIIRS,n,1,298.85,2.88,D,0
-20.953232,47.340084,338.27,0.49,0.4,2017-08-25,1012,N,VIIRS,n,1,299.21,5.43,D,0
-20.951878,47.342457,331.19,0.49,0.4,2017-08-25,1012,N,VIIRS,n,1,296.97,3.91,D,0
-21.109383,47.572197,338.13,0.61,0.53,2017-08-26,0954,N,VIIRS,n,1,294.57,5.11,D,0
-21.066116,47.400337,328.65,0.62,0.54,2017-08-26,0954,N,VIIRS,n,1,291.31,4.66,D,0
-21.066732,47.398876,327.78,0.62,0.54,2017-08-26,0954,N,VIIRS,n,1,292.31,4.58,D,0
-20.959049,47.356842,335.6,0.63,0.54,2017-08-26,0954,N,VIIRS,n,1,292.14,13.32,D,0
-20.955532,47.354546,345.63,0.63,0.54,2017-08-26,0954,N,VIIRS,n,1,294.99,10.19,D,0
-20.927198,47.333027,339.38,0.63,0.54,2017-08-26,0954,N,VIIRS,n,1,294.74,12.06,D,0
-21.042217,47.365402,336.49,0.49,0.65,2017-08-27,1112,N,VIIRS,n,1,289.54,5.34,D,0
-21.300352,47.31813,330.24,0.5,0.49,2017-08-31,1000,N,VIIRS,n,1,297,4.87,D,0
-21.166565,47.359081,337.48,0.5,0.49,2017-08-31,1000,N,VIIRS,n,1,298.44,3.86,D,0
-21.015221,47.222164,340.87,0.51,0.49,2017-08-31,1000,N,VIIRS,n,1,303.73,7.57,D,0
-20.921165,47.362198,339.16,0.49,0.49,2017-08-31,1000,N,VIIRS,n,1,294.88,6.53,D,0
-21.057962,47.2649,341.16,0.51,0.66,2017-09-01,0942,N,VIIRS,n,1,296.54,3.92,D,0
-21.045151,47.269165,354.9,0.51,0.66,2017-09-01,0942,N,VIIRS,n,1,296.24,10.95,D,0
-21.053595,47.263756,331.75,0.51,0.66,2017-09-01,0942,N,VIIRS,n,1,294.5,7.16,D,0
-21.046957,47.268375,367,0.51,0.66,2017-09-01,0942,N,VIIRS,h,1,297.18,9.15,D,0
-21.296766,47.318684,330.49,0.6,0.71,2017-09-01,1118,N,VIIRS,n,1,293.72,6.35,D,0
-21.297689,47.322132,343.67,0.6,0.71,2017-09-01,1118,N,VIIRS,n,1,294.38,9.86,D,0
-21.058876,47.404274,330.7,0.62,0.71,2017-09-01,1118,N,VIIRS,n,1,293.06,2.93,D,0
-21.055655,47.400414,338.47,0.62,0.71,2017-09-01,1118,N,VIIRS,n,1,293.66,6.23,D,0
-21.375229,47.61808,336.17,0.32,0.55,2017-09-02,1100,N,VIIRS,n,1,297.47,3.33,D,0
-21.062134,47.235291,331.26,0.62,0.54,2017-09-02,1100,N,VIIRS,n,1,302.84,4.86,D,0
-21.029396,47.36916,338.32,0.63,0.54,2017-09-02,1100,N,VIIRS,n,1,296.62,7.02,D,0
-21.024399,47.368153,339.28,0.63,0.54,2017-09-02,1100,N,VIIRS,n,1,296.25,7.02,D,0
-21.044867,47.244007,339.03,0.62,0.54,2017-09-02,1100,N,VIIRS,n,1,298.9,8.26,D,0
-21.419321,47.308571,333.78,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,300.37,75.59,D,0
-21.307043,47.307259,333.1,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,300.3,2.45,D,0
-21.151218,47.380882,330.97,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,300.45,3.31,D,0
-21.169653,47.276493,341.42,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,305.21,7.96,D,0
-21.131203,47.406586,330.14,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,299.78,2.74,D,0
-21.099321,47.390259,335.53,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,299.44,6.27,D,0
-21.109184,47.249702,338.25,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,302.54,2.56,D,0
-21.11129,47.251766,334.16,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,301.01,3.69,D,0
-21.08448,47.339485,336.34,0.49,0.41,2017-09-03,1042,N,VIIRS,n,1,304.42,4.21,D,0
-21.062355,47.399628,331.71,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,300.58,2.48,D,0
-21.056757,47.343666,345.23,0.49,0.41,2017-09-03,1042,N,VIIRS,n,1,300.31,10,D,0
-21.051344,47.352474,331.04,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,298.67,2.33,D,0
-21.023266,47.401814,337.79,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,302.9,8.94,D,0
-21.021372,47.32576,333.68,0.49,0.41,2017-09-03,1042,N,VIIRS,n,1,301.66,9.36,D,0
-21.023033,47.316433,333.15,0.49,0.41,2017-09-03,1042,N,VIIRS,n,1,300.84,10.08,D,0
-21.027206,47.293007,337.08,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,301.29,3.04,D,0
-21.017651,47.325008,340.62,0.49,0.41,2017-09-03,1042,N,VIIRS,n,1,303.46,9.36,D,0
-21.007772,47.294037,338.48,0.49,0.4,2017-09-03,1042,N,VIIRS,n,1,304.99,3.78,D,0
-20.972433,47.383179,333.32,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,300.93,9.44,D,0
-20.937618,47.361164,331.54,0.5,0.41,2017-09-03,1042,N,VIIRS,n,1,301.07,3.05,D,0
-21.490871,47.410877,332.2,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,292.22,3.23,D,0
-21.485903,47.421356,331.72,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,295.66,2.89,D,0
-21.399239,47.682884,334.53,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,297.44,2.61,D,0
-21.295666,47.293503,340.13,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,297.13,17.24,D,0
-21.145853,47.642975,334.37,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,297.11,7.74,D,0
-21.148512,47.441391,330.69,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,295.77,3.14,D,0
-21.033962,47.417995,331.84,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,291.02,4.02,D,0
-21.030626,47.417435,333.9,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,292.52,4.02,D,0
-21.027786,47.367264,336.68,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,294.77,3.46,D,0
-20.992985,47.555817,331.01,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,296.77,2.94,D,0
-20.930109,47.709362,330.4,0.38,0.36,2017-09-04,1024,N,VIIRS,n,1,295.27,2.69,D,0
-20.978922,47.382462,337.55,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,297.04,6.01,D,0
-20.946007,47.304462,331.84,0.39,0.36,2017-09-04,1024,N,VIIRS,n,1,299.8,4.35,D,0
-21.49189,47.630981,352.94,0.38,0.59,2017-09-06,0948,N,VIIRS,n,1,296.41,5.3,D,0
-20.975454,47.630276,335.71,0.38,0.59,2017-09-06,0948,N,VIIRS,n,1,291.21,2.81,D,0
-20.970007,47.629383,339.16,0.38,0.59,2017-09-06,0948,N,VIIRS,n,1,292.79,3,D,0
-21.060965,47.427311,331.81,0.77,0.77,2017-09-06,1124,N,VIIRS,n,1,291.56,7.7,D,0
-21.065214,47.575233,344.88,0.41,0.6,2017-09-07,1106,N,VIIRS,n,1,289.93,4.28,D,0
-21.006067,47.352478,367,0.39,0.6,2017-09-07,1106,N,VIIRS,h,1,302.66,23.99,D,0
-21.091661,47.535267,339.22,0.41,0.45,2017-09-08,1048,N,VIIRS,n,1,295.36,5.38,D,0
-21.03511,47.232212,345.44,0.4,0.44,2017-09-08,1048,N,VIIRS,n,1,300.16,3.91,D,0
-21.003309,47.289665,330.39,0.4,0.44,2017-09-08,1048,N,VIIRS,n,1,302.85,1.18,D,0
-20.991796,47.283489,330.3,0.4,0.44,2017-09-08,1048,N,VIIRS,n,1,296.86,2.25,D,0
-21.169197,47.547325,342.44,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,295.82,10.31,D,0
-21.105139,47.24527,334.87,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,302.43,3.93,D,0
-21.105722,47.24155,332.13,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,302.3,3.93,D,0
-21.101805,47.244675,335.98,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,301.74,5.12,D,0
-21.024708,47.211777,347.9,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,304.24,5.21,D,0
-21.021379,47.211163,343.93,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,300.85,5.21,D,0
-20.977375,47.237747,337.73,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,302.38,2.4,D,0
-20.949757,47.348251,339.65,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,295.48,15.08,D,0
-20.94676,47.236198,331.72,0.39,0.36,2017-09-09,1030,N,VIIRS,n,1,301.86,2.01,D,0
-21.238916,47.311661,331.71,0.49,0.41,2017-09-10,1012,N,VIIRS,n,1,301.48,4.19,D,0
-21.237967,47.314404,337.53,0.49,0.41,2017-09-10,1012,N,VIIRS,n,1,304.05,3.68,D,0
-21.21423,47.291409,330.88,0.49,0.41,2017-09-10,1012,N,VIIRS,n,1,301.54,1.5,D,0
-21.069767,47.603722,331,0.48,0.4,2017-09-10,1012,N,VIIRS,n,1,295.01,2.77,D,0
-21.056719,47.415424,330.44,0.49,0.4,2017-09-10,1012,N,VIIRS,n,1,297.59,4.3,D,0
-21.052807,47.357563,330.76,0.49,0.4,2017-09-10,1012,N,VIIRS,n,1,296.63,9.17,D,0
-21.013103,47.370796,338.94,0.49,0.4,2017-09-10,1012,N,VIIRS,n,1,296.96,7.23,D,0
-21.012289,47.36776,333.38,0.49,0.4,2017-09-10,1012,N,VIIRS,n,1,296.12,3.94,D,0
-21.005377,47.333714,337.38,0.49,0.4,2017-09-10,1012,N,VIIRS,n,1,297.5,5.21,D,0
